Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Algeria,DZA,61.3298720275779,62.4020834100387,63.3902743826744,64.3023495081554,65.1422789002979,65.8877914036328,66.4493851877539,66.8636951498072,67.1322166315084,67.2630781770052,67.2610138766069,67.018247644085,66.7653811888783,66.4464122345876,66.0025981091413,65.4288452547037,64.8575664184352,64.1832049427207,63.4888248687945,62.8968435084768,62.4735570719822
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Angola,AGO,50.2332869567105,50.2413082499196,50.2959830227227,50.38343172762,50.4863247405327,50.5896230662746,50.549459275259,50.5390889409574,50.5456950462936,50.5645994202524,50.5976302869905,50.5080352679062,50.4679776282642,50.4717924862605,50.5197967810515,50.6151669639,50.6856291078069,50.8077871356001,50.9747016426956,51.17863322241,51.4131751845783
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Antigua and Barbuda,ATG,64.7284782151126,65.1453141998653,65.5175937160738,65.860025220681,66.1845249950209,66.5119990179832,66.834735925711,67.1851569752219,67.555066337225,67.9316625550458,68.3021311400918,68.4873337590893,68.721034410291,68.9562480877661,69.1460858667704,69.2687514695509,69.2320712600633,69.1928824429401,69.1190827326922,68.9903004592352,68.8172043010753
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Argentina,ARG,61.8091688685679,62.0204389717985,62.2134338828062,62.402148631685,62.60526740485,62.8286101656879,62.9922902789365,63.1997872206121,63.4237887273903,63.6213345780434,63.7690168895782,63.8807226437241,63.9471288794812,63.9826922106179,64.0154698523561,64.0600197569769,64.0605666116429,64.0835225051061,64.1212772887989,64.1613658498285,64.1981770242501
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Armenia,ARM,64.1731422850797,64.7607899466579,65.2066033438608,65.5908416756905,66.0447159348423,66.6385354692918,67.1672006995893,67.859946300541,68.598832446353,69.198869011098,69.5454692371614,69.6953073451489,69.6796445780752,69.5219955355972,69.2929118128669,69.0425707549991,68.7610582999534,68.4489663273217,68.11276041799,67.7503802746092,67.3647756866379
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Aruba,ABW,69.2404213399668,69.3233438825378,69.4216355061479,69.5548202892277,69.7347498911249,69.9353200507843,69.8573893726323,69.6903835134655,69.4459243473628,69.1597259868907,68.8380922405059,68.8856006114889,68.9869344773791,69.1088513847556,69.1811050937614,69.1597742018957,69.1376153787474,68.9463394263804,68.6466058859653,68.3211994657336,68.012288556282
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Australia,AUS,66.7939029976204,66.9279058272004,67.048065888962,67.1532028418431,67.2454377841379,67.3141218343844,67.4830971753657,67.6174574294628,67.6837386642461,67.6715177718794,67.5911079551186,67.3338287632519,67.0838407422162,66.8267948368588,66.5514444053048,66.2580494091257,65.9065730162399,65.5309417025767,65.1529077338752,64.8033515429272,64.4945169162338
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Austria,AUT,67.7829460784338,67.8768837953466,67.900457955658,67.8734889036641,67.8431945263396,67.8309232884845,67.7482754787581,67.6808154984937,67.6229858016489,67.5603329549989,67.4849514545213,67.4248692937991,67.3589166697149,67.2728360722279,67.1662479887325,67.0395429709195,66.9201962982639,66.812507305921,66.7004859083869,66.5625360827828,66.3838195913616
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Azerbaijan,AZE,63.0023781381187,63.7613882037715,64.5145299762802,65.3084106516192,66.1969315462544,67.1846279339541,68.0375975099378,68.9681385536831,69.8876984513379,70.6757370925603,71.2663802257214,71.5763302546665,71.7060426833401,71.6759569155209,71.5542023446756,71.3895878982556,71.0271411085592,70.7226479179956,70.4352473888986,70.11169103273,69.7430866430283
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Bahamas, The",BHS,65.3086216788402,65.5906125874865,65.7625300656569,65.8760446972334,65.9915206933966,66.1099123004134,66.3124220243903,66.4209562256031,66.5337915101504,66.7203464491253,67.0024961824749,67.3689714053696,67.8404440239394,68.3728746163211,68.8843141328484,69.3177020143985,69.7719154340751,70.0653560529659,70.2575219701429,70.4409959895451,70.6505375797215
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bahrain,BHR,67.40604654452,68.544681705123,69.6091660704132,70.5415894019324,71.3518444430519,72.0753426814401,73.6310252937653,74.9358781912485,75.9963073312394,76.8699222665888,77.6086746288864,77.5015628043948,77.3930261611269,77.2344771366085,77.0301816889022,76.826054724602,77.267581807164,77.7862036469363,78.3193560020542,78.7624941200557,79.0664531390036
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bangladesh,BGD,59.1888760718162,59.5799464583788,59.9974655430937,60.4328883899392,60.8780583466836,61.3315634736609,61.6762718123105,62.0420956972664,62.4272166721284,62.8273980055631,63.2412346689419,63.7144014235542,64.1737351452583,64.63338144714,65.1132097229035,65.6185771379833,66.1113230721407,66.625937004745,67.1355868778783,67.6052832669884,68.0184550815883
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Barbados,BRB,66.1178940390034,66.3893577981651,66.5795007771784,66.7184293312045,66.8516877115997,66.9864614961476,67.0531251238841,67.1266594904916,67.1625956434455,67.1246229153623,67.0061070920955,67.0691586539311,67.0871798125491,67.0772715761038,67.0581337377908,67.0318655283117,67.006186230738,66.9488387042679,66.8543578901832,66.7185785210348,66.5374510656807
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Belarus,BLR,67.9953730041801,68.297748710913,68.5976689945118,68.9144958253416,69.2712335729944,69.6770830805991,69.9880727755085,70.3673165434578,70.7398029484214,71.0152661591799,71.1401343485015,70.9774176554807,70.684979132522,70.2928931121814,69.8574440439643,69.4136283541907,69.0701098908777,68.7169869180976,68.2889087752101,67.7628384969718,67.1794476704839
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Belgium,BEL,65.5677043635242,65.5524134610083,65.5291882157882,65.5082929009144,65.5152323204025,65.5588768097048,65.5871971072016,65.6696398023776,65.7652579267481,65.814341515699,65.7832315041066,65.6475077341236,65.4689095291284,65.2584286062527,65.0459829229075,64.8535339486213,64.6114376604001,64.3794416479243,64.1558335012748,63.935230890395,63.711796319863
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Belize,BLZ,55.3508683258193,55.7540686026589,56.1579095808338,56.5923726454486,57.0801869050719,57.6212121212121,58.1720323071167,58.7255246216872,59.2742395452753,59.8042300297151,60.3084375310112,60.9934683272922,61.6266272189349,62.2397061163097,62.8569245484851,63.4804797566307,63.9657980456026,64.4805718406787,64.9837758535624,65.4282149746512,65.7921474342853
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Benin,BEN,51.6039365850412,51.6982907225693,51.8368164899661,52.007823890657,52.1999601548593,52.4054258054615,52.4545823076521,52.5279684552892,52.6283382360263,52.7604813930203,52.9240996475912,53.018439923512,53.1602798941624,53.3357435601315,53.529916464175,53.735190931275,53.8983079844184,54.0874712018525,54.2987123079372,54.5295963080211,54.776956579121
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bhutan,BTN,56.2705893699209,57.0197468689948,57.841166978887,58.7142563619017,59.6119377284503,60.5130876978261,61.1484461751418,61.7835506169572,62.4179400934764,63.0532946693537,63.6866651203569,64.3726074501874,65.0557811571294,65.7163735485479,66.3295575442769,66.8780121888893,67.4147694880468,67.8557009937457,68.2256345541021,68.5668307360056,68.9007890016693
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bolivia,BOL,57.0156507327401,57.1800655809544,57.3741703758081,57.5902081143989,57.8210767425303,58.0641607849653,58.2875043930857,58.5436806156319,58.821869650363,59.1078042093194,59.3933178684771,59.6827519246635,59.9608621429307,60.2377148910535,60.5287508533354,60.8389076821595,61.1159325202546,61.4195037816536,61.7345048621782,62.0361066958508,62.3098424992125
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bosnia and Herzegovina,BIH,68.3127371256374,68.2198326087096,68.2372418694856,68.3554424530717,68.5435713462165,68.7818149320737,69.1461572455054,69.468633081977,69.7594819340426,70.0421955610612,70.3033243808076,70.2547133092518,70.3002131500605,70.4012244093755,70.4249584662151,70.2778739246174,70.0003779974757,69.4545318921983,68.7634648796227,68.1050893668585,67.5617582073257
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Botswana,BWA,58.0904429653375,58.6482894025001,59.1216806813395,59.5370843370438,59.9364382419527,60.3326815179775,60.6165995245949,60.9247122970963,61.231369793578,61.4985016621466,61.7147558885917,61.6929715793814,61.6035548913587,61.4748359795748,61.3487961896335,61.2468147550167,61.3285078616083,61.4743229270593,61.6631796378814,61.8691173361775,62.0840805110675
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Brazil,BRA,64.8126378151104,65.1711386304347,65.5402837245385,65.9094747029532,66.2733482740752,66.6327982335813,67.0055129009731,67.3583682756159,67.6977274041696,68.0310112140449,68.3558301903697,68.6542700836965,68.9277022114691,69.1753242574889,69.3906196906341,69.5661340906186,69.6487895917995,69.7106712029254,69.7430902567055,69.7391982309441,69.6985262243169
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Brunei Darussalam,BRN,66.9749223357796,67.3926724974561,67.8809742143479,68.3523307849292,68.7888980700158,69.2159161248268,69.4195747347156,69.7217073593535,70.0564807957388,70.3698301146635,70.6511838536869,71.0476316270753,71.3052239535426,71.480462191627,71.6471963472103,71.8373032992936,71.815864697475,71.9362597856636,72.1003909428086,72.1746656357824,72.1058610813319
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bulgaria,BGR,67.745350468876,67.9707460990533,68.2333323459915,68.5211329326659,68.7991759970002,69.032876707339,69.0071251362205,68.9733170447394,68.8898998642626,68.7125987470685,68.4250037171677,67.9249862779777,67.3842102328019,66.8134870251223,66.2442796680931,65.7074330868291,65.254273902527,64.7976668313048,64.3826202477506,64.0616538090281,63.8526029924681
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Burkina Faso,BFA,50.4652762737788,50.4862328015192,50.5552057658361,50.6603951236469,50.7907828123239,50.9382331751097,50.9352979526763,50.9747705255276,51.0504042791815,51.1620029141876,51.3087322015452,51.3567073767903,51.4672970112761,51.6236571830548,51.8094817306692,52.0181855688683,52.2026259606635,52.4098388004856,52.6449378491703,52.9148909094649,53.218670588094
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Burundi,BDI,47.4297724471932,48.0917992290299,48.7710305598966,49.449831339698,50.1139210563326,50.7458252442476,51.2222574343944,51.6861535440272,52.1059912858588,52.4478462354073,52.6988213613303,52.6896526011435,52.6443901938873,52.5666355460226,52.4739547224236,52.3834673716515,52.3029616242189,52.2577451836004,52.2513787905443,52.2872570156922,52.3679431061905
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cabo Verde,CPV,52.022709650901,52.9176583453635,53.7680240026549,54.6373880381393,55.605025656075,56.6887385753037,57.7973868746936,58.9976003031196,60.2231086302777,61.3652755146701,62.3610079284853,63.2790559218373,64.0256514295328,64.6193048140882,65.1147758605054,65.5488496273414,65.9289536210383,66.2843396626592,66.6129058953559,66.8951785210979,67.1326847570177
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cambodia,KHM,55.3287681138972,56.5073716237305,57.4486298050274,58.1874000819685,58.8522117184069,59.5470519357805,60.2994841333939,61.0425160537727,61.7704590821239,62.4193854176689,62.940040295658,63.2824793006847,63.6432142070873,63.9578241715942,64.1725756968983,64.2786401979817,64.3530387487432,64.3167339906176,64.2299052197099,64.1830348656498,64.2221991612519
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cameroon,CMR,51.753947819204,51.9399632492117,52.1401670000285,52.3517211762609,52.5758427822368,52.8094201848375,52.8951406834868,53.0220794326535,53.1704388368863,53.3203041407092,53.4656612150655,53.5305811793027,53.6159642434012,53.7254022164129,53.8695781984646,54.0539964000912,54.2049039997449,54.401275287263,54.6395427998918,54.9142190677367,55.2199112908855
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Canada,CAN,68.271349943539,68.4899967691138,68.6857250514565,68.8671682665118,69.044422192533,69.2065015293815,69.3303408825163,69.4276791504025,69.4763348261205,69.4556581705621,69.357773222125,69.1335188560903,68.8993795606957,68.6308948007577,68.3150902258466,67.9548843196081,67.6469556724162,67.28747162393,66.8977424466943,66.506203368219,66.1203862397467
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Central African Republic,CAF,53.1936500855532,53.0759389127081,53.0396399069153,53.0650077901546,53.12667697844,53.213836630611,53.0393249845984,52.90530513267,52.825337216611,52.8245526065531,52.9194614349334,52.5682240926331,52.2994011382161,52.1183270292971,52.0115362860999,51.9641811905626,52.2123831397765,52.522169710639,52.879905742539,53.2651940862158,53.660145510125
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Chad,TCD,48.2687291742813,48.1316369309192,48.0547514406158,48.031388376,48.064273135659,48.1582028385106,48.1345061988363,48.1849920096313,48.3011444985277,48.4700756832936,48.6787131605598,48.7955899972413,48.9711883298461,49.1902194126319,49.4410244002188,49.7186268135263,49.9074968101164,50.1327084490236,50.393181066809,50.687413635122,51.0111248942521
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Channel Islands,CHI,68.4289592638252,68.4608006868012,68.5245594802,68.612895487379,68.7000716579527,68.7443136117301,68.6545801526718,68.6444294989524,68.7374147398567,68.9065483189824,69.0748369163735,68.7573758680232,68.4824998765859,68.2656803935279,68.1224862888483,68.0333766665659,67.8366672058374,67.6749770254647,67.5141789687916,67.3311699243581,67.1097358264841
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Chile,CHL,65.0176214821807,65.3798280535853,65.7401053492038,66.1105997784683,66.5003202316133,66.9012460883432,67.2800349065921,67.6541625794493,68.0063894153418,68.3122346277602,68.5561864895113,68.7043188250657,68.8189838972752,68.8837502668382,68.8894151960146,68.8365630081395,68.8222483435176,68.7839092508846,68.7162958723189,68.624187013555,68.5186141325884
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,China,CHN,68.3994264262824,68.8457063371142,69.6382031793899,70.6183595778575,71.5088523199023,72.1640797381751,72.6735800146097,72.9853668548011,73.1296112760178,73.2057255394451,73.26558948405,73.2309997808867,73.1770279539402,73.0809292040303,72.8992407406556,72.61433377299,72.2027527736548,71.7175184402221,71.2021137123803,70.7232986329292,70.3199134118938
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Colombia,COL,62.2228158246305,62.5611154738874,62.8524568346309,63.1321417970923,63.4545526061143,63.8428668278492,64.2408813872545,64.7139517479685,65.2250396706811,65.7132748934783,66.1450598924876,66.5847683980824,66.949967008653,67.2568779946048,67.5305512111984,67.7756374926303,68.0179463013345,68.2439989221801,68.4440570001664,68.6133853328492,68.7558672717712
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Comoros,COM,52.9876077933907,53.2968871427338,53.643769129327,54.0106410887312,54.3780599703966,54.73139674998,54.9912599273656,55.2484336523176,55.5005941612436,55.7526750756032,56.0058692865801,56.1824818241389,56.3710937446037,56.565363686017,56.7630598243327,56.9647965588919,57.0991161298756,57.2646002172278,57.4545668623441,57.658722790127,57.8743584701489
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Congo, Dem. Rep.",COD,51.5062043493304,51.4056079942108,51.3379260279775,51.2917015228608,51.2649598031841,51.2551394836004,51.1059512368731,51.0088970783928,50.9462956327879,50.9015946465007,50.8683388076554,50.7345627685102,50.6442084725626,50.5952965273088,50.5924408635153,50.6382174703543,50.6335131749842,50.6967685651836,50.8165172919176,50.9816614056687,51.1861398598233
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Congo, Rep.",COG,55.1208011994586,55.1981660276954,55.2941091177557,55.39275627678,55.4745407165085,55.5291178723492,55.6031935780255,55.6577597333828,55.7011790643168,55.7571770672537,55.8424945322951,55.6174917699013,55.4567104467009,55.3526657872501,55.2936936982581,55.2762868106987,55.3186952970851,55.4126395725043,55.5547780005145,55.7413352047799,55.9669863849555
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Costa Rica,CRI,63.258699587015,63.7889885014504,64.383718307455,65.0140139906961,65.6327164328883,66.2099329320112,66.7544527423406,67.2360072178627,67.6615151939504,68.0457624194269,68.3908560752466,68.6185838121718,68.8200085324232,68.9845041455201,69.1008208706851,69.1672146811216,69.1839215242038,69.1721175590723,69.1254082206391,69.0409288763425,68.9188785968444
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cote d'Ivoire,CIV,53.5411714171322,53.3320306988193,53.1739794106609,53.0649713260692,53.0038350643004,52.9926480210808,52.9922554705124,53.0566180992911,53.175513549237,53.3342469647388,53.5204975417561,53.7162172283487,53.9245492265627,54.1465300923092,54.3856272455939,54.6386328543659,54.7985044860968,54.9927058733985,55.2040848482383,55.4121774683255,55.6089568256058
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Croatia,HRV,67.1123682412787,66.9025821929073,66.8456405763776,66.8908688861319,66.9626372242683,67.0216109517051,67.1403505600949,67.1632481559573,67.1162945856258,67.0546181941481,66.9971454415439,66.7222106425102,66.5665319173403,66.4945594605806,66.4022096518586,66.2131450168373,65.9528270908012,65.5395821564065,65.0426269817306,64.5776436794967,64.2062014480422
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cuba,CUB,68.5653978859347,68.6898229924816,68.9983821817305,69.3975866276291,69.7333019862022,69.9305745853469,70.034617832766,70.0165725693846,69.9160832576679,69.8072070808997,69.7183692041712,69.6657666670137,69.6025638565656,69.5233854451625,69.4168182554659,69.2786023853353,69.0380873435303,68.8156204984913,68.6025495906116,68.3926909318168,68.1858641627826
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Curacao,CUW,64.8062660814288,65.4098033802644,65.7752643606926,66.0193267561107,66.2342000792424,66.4105125643587,66.3684963481666,66.4184895604556,66.4784896668132,66.43185867494,66.2468496970347,66.2173784591143,65.9688535496748,65.5981733994923,65.2289454747447,64.9083185796418,64.6542731540124,64.5061328296203,64.4311590640975,64.336939494811,64.155692198936
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cyprus,CYP,67.371434023471,67.7349012159004,68.1121310508883,68.4850381908344,68.8592133078915,69.2368697100798,69.5417629915438,69.8722305734724,70.1948014124004,70.4898445745905,70.745866483554,70.7170753347386,70.6639202287837,70.5651710952157,70.4267607406154,70.2714505355366,70.0034268027247,69.7480159840227,69.4930902700408,69.2446446822268,69.0140215130711
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Czech Republic,CZE,69.774601426151,70.1854384691356,70.5243067846205,70.8082693696031,71.0475251622672,71.2248494297276,71.1623622363165,71.0904367427858,70.9567890162227,70.7031885016955,70.3182683311508,69.714769777023,69.0540655097633,68.3452457948225,67.6155601472481,66.8908352361486,66.2722456851995,65.6179183338762,64.9925175870224,64.4763050287444,64.1014583927266
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Denmark,DNK,66.6767767656445,66.5599054284926,66.4428665792759,66.3312646371762,66.2257316212951,66.1193477620128,65.9768241418618,65.8364718612938,65.6918702249602,65.5404397953962,65.3825742001035,65.157251201778,64.9418997263007,64.6886875027159,64.3969594272515,64.109395915935,63.9802785646613,63.8488146240044,63.7287848006111,63.6337821533242,63.554275213468
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Djibouti,DJI,56.0165778501193,56.3584646971754,56.8799183872376,57.5190122702698,58.1775861420964,58.8238298176581,59.8633462670676,60.8812950756781,61.8705273911691,62.797844466752,63.6121485649811,64.0135461546211,64.3202628156616,64.5631743940006,64.8183198971843,65.1269758083486,65.2792128397868,65.5614506529506,65.898304660541,66.1859566950162,66.3812753036437
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Dominican Republic,DOM,60.2811651217089,60.5569324591291,60.8096298270196,61.0616433287079,61.341270835274,61.6602235157257,62.0048562235442,62.3838817174814,62.7840971867954,63.1764242873121,63.5378764225841,63.8333263189796,64.0911070036238,64.3120600718614,64.5009735683066,64.6618451459295,64.7772338241547,64.8693953755237,64.9400530208454,64.9929164449661,65.0329602660789
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Ecuador,ECU,60.1436323896551,60.3538209695999,60.6149443849092,60.9062836068303,61.1967752023552,61.4711199972052,61.7977643970746,62.0912853353433,62.3700590661404,62.6596745835912,62.9670330329182,63.2688821300398,63.578355860544,63.8774127526807,64.1367516223834,64.3387375539877,64.5292713967933,64.6872593327007,64.814118271228,64.9208324646813,65.0169806202486
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Egypt, Arab Rep.",EGY,58.2265524967536,58.7573164188312,59.3926592448157,60.0720659243897,60.7093683359773,61.2602749215943,61.7184080326704,62.0983839810259,62.3907651204173,62.5804343532106,62.6508703017784,62.5921935284604,62.3733128518777,62.0695138579029,61.7878170307886,61.5843092250585,61.2079444748912,61.0365300119322,60.971499944556,60.8888368641163,60.7472927677382
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,El Salvador,SLV,57.882575489951,58.0205419059809,58.1861936728716,58.3877717953907,58.6281044995374,58.9086011635917,59.3937163854519,59.8438208853535,60.2900894424508,60.7678111550345,61.2860059428756,61.8133639306421,62.4010588139674,62.9897367887687,63.4935937760122,63.8718703380361,64.2219345914653,64.4496680247071,64.5808290812314,64.6719721678895,64.758468164358
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Equatorial Guinea,GNQ,55.717186780846,56.0669721023452,56.4269484070087,56.7297834166346,56.9652792597521,57.1539687939856,57.4781770716486,57.808508592688,58.0940709074857,58.3499981699181,58.6108670794658,58.8309505063064,59.1295889898186,59.4228237674573,59.6846411358337,59.9366917457949,60.0434503530341,60.231204070992,60.4255237876965,60.6186937033273,60.8393532361358
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Eritrea,ERI,50.4599950445294,52.1699803176961,53.7316741486898,55.1491691763044,56.4348962038795,57.568670292384,57.4670730808836,57.3211201200319,57.1169842812687,56.841617733788,56.5165978801016,55.7353642159919,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Estonia,EST,67.399321855577,67.5472253957305,67.6860013364846,67.8293317328388,67.9688903719295,68.0881762817486,67.9983814585104,67.9179287894928,67.801157101143,67.6122547497072,67.3427915751133,66.9220439117307,66.4865673739891,66.0306338898399,65.550412261249,65.0474977667117,64.8112053839318,64.464942132349,64.0165694070692,63.544922935802,63.1286019592397
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Eswatini,SWZ,54.1595428844232,54.5678856442672,54.8343128317399,55.0174911664232,55.1889044574319,55.380325040584,55.5739258675871,55.7479389096266,55.9010233869393,56.029360727096,56.14436763561,56.2455633362033,56.4267368857988,56.6391833963139,56.819653357613,56.9499947465862,57.3658636423617,57.6476811536222,57.8729205187801,58.1537804952401,58.5447402263818
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Ethiopia,ETH,50.4356554985048,50.3399845388949,50.3098959510631,50.3165139968938,50.3416112486203,50.3958495126241,50.5448086708891,50.7504752316065,51.0243633228161,51.3681719622564,51.7667134139854,52.2584447564852,52.7709102156185,53.2985308777309,53.8349076778342,54.3715475562178,54.8062390038665,55.2613712393253,55.7158850950668,56.1468683665491,56.5454698578127
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Fiji,FJI,61.5530587936464,62.4852412691587,63.2813947013028,64.0006568015724,64.7000709167828,65.3711520391819,65.4014519187795,65.535464427941,65.7478875888526,65.9815589061861,66.1808661833086,66.0505716029551,65.894628058571,65.6840047689023,65.4312467035142,65.1795304543838,65.1169934857789,65.0566009352004,65.0376973863674,65.0820886046791,65.1713155854514
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Finland,FIN,66.8701187404514,66.913861939972,66.8596641785748,66.7540638745092,66.6701575874113,66.6336497920584,66.603770617515,66.6243656020049,66.6314499866434,66.5241989254739,66.247846073508,65.7796475646368,65.1978200366775,64.5476120347521,63.9153141926143,63.3609687943454,62.8751810070842,62.4700823080137,62.134029481894,61.8430138267974,61.5803902741882
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,France,FRA,65.0356071605814,64.9900633388057,64.9781924755801,64.9888381365152,65.010533052162,65.0343445785052,65.006020427019,64.9928970342558,64.9617636180445,64.8639158081892,64.6701255559639,64.3768891595673,63.9961606703243,63.5629510189021,63.1388901221384,62.7664724171957,62.4703444983481,62.2211765433074,62.0089108085333,61.8064718464662,61.5928887293959
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,French Polynesia,PYF,63.8919588177127,64.4226333130555,65.0691644040294,65.7471419017582,66.3520735022969,66.8421052631579,67.2740508026512,67.5633086049459,67.7635091891646,67.953357913547,68.1657315494174,68.3770517523478,68.6782057859166,68.9865644698292,69.1580942566386,69.1316032278379,69.3187653646545,69.2034103338621,68.9475977657655,68.7554379545056,68.7082603557036
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Gabon,GAB,53.7710443192549,54.1602841964606,54.5875814532936,55.0384748547865,55.4965855243962,55.9458889977987,56.5399342167825,57.1020830857511,57.6160654312695,58.0745579147035,58.4750698831382,58.8864650206128,59.2652264811549,59.5829221863097,59.8357575114131,60.0405301470566,59.8055255486776,59.5932435855277,59.4102228356395,59.2757271427184,59.2072997042773
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Gambia, The",GMB,50.3624868426345,50.3912287125553,50.4796473020329,50.6230322258048,50.8220032114356,51.0728807487785,51.215907555712,51.4230587225157,51.6751761840069,51.9411542631957,52.1964693206989,52.2863170516198,52.4019521126628,52.5350967962716,52.6823554056685,52.8426164747394,52.9075405186084,53.0073097612392,53.141274000107,53.3119564374756,53.5185635759649
